G'	A	E'	B	C	D	E	Elist'	F	G	H	I	L	relop	M	N	P	S	T	V	X	L'	Elist	H'	Program	B'	M'	<=	num	for	do	while	switch	default	not	else	and	record	id	[	]	if	case	==	++	--	proc	or	(	false	)	*	real	then	+	,	int	call	char	true	:	;	{	<	!=	}	=	>	return	>=	$	
						30		58	47	280	74																	s48						s26				s57										s28	s23									s50	s31												
																														r34						r34											r34																								
																														r37						r37											r37																								
						30		58	47		281																	s48						s26				s57										s28	s23									s50	s31												
																											r18																r18							r18													r18	r18			r18		r18		
								127	282																			s117										s126										s283										s119													
			238			122		127	116	121	124																	s117						s118				s126										s120	s115									s119	s123												
																									285											r36											r36			r36																					
													241														s130																s131																				s133	s134			s132		s135		
																							286													r39											r39			r39																					
																																				r40											r40			r40																					
													241														s130																s131							s288													s133	s134			s132		s135		
																																																		s289																					
						234		58	47	290	124																	s48						s118				s57										s232	s115									s50	s123												
																																																		r34																					
						295		297	291																			s292										s296										s294										s293													
																											r24																r24								r24			r24									r24	r24			r24		r24		
																																															r37			r37																					
						234		58	47		298																	s48						s118				s57										s232	s115									s50	s123												
																														r41						r41											r41																								
																											r21																r21							r21				r21									r21	r21			r21		r21		
								300																				s117										s126										s299										s119													
																									301					r36																	s89																								
		302																												r20						r20											r20							s303																	
																														r26						r26											r26				r26			r26																	
																														r27						r27											r27				r27			r27																	
						304		150	144																			s145										s149										s147										s146													
																														r42						r42											r42																								
																														r25						r25											r25				r25			r25																	
305																														r23						r23											r23				s306			r23																	
																							307							r39						s99											r39																								
																													r17		r17	r17					r17	r17			r17					r17						r17				r17	r17	r17										r17		r17	
						308		150	144																			s145										s149										s147										s146													
309																											r23																r23								s141			r23									r23	r23			r23		r23		
														311						310																														r53		s37				s39		s38													
		312																																																r20				s313	r20																
																																																		r26	r26			r26	r26																
																																																		s314																					
																																																		r27	r27			r27	r27																
						315		150	144																			s145										s149										s147										s146													
							317																																											r60					s316																
																																																		r25	r25			r25	r25																
318																																																		r23	s319			r23	r23																
																																																														s320									
	321																																																						s106						r7					s108					
																													r4		r4	r4					r4	r4			r4					r4						r4				r4	r4	r4										r4		r4	
																																																							r26						r26					r26					
																																																							r27						r27					r27					
						322		150	144																			s145										s149										s147										s146													
																																																							r25						r25					r25					
	323																																																						s106						r7					s108					
																																																																		s324					
																																																																	s325						
																																																s326																							
			327			30		58	47	29	32																	s48						s26				s57										s28	s23									s50	s31												
																				328																																s37				s39		s38													
					216							211				329	217	220		3									s213		s214	s219					s221	s17			s222					s215						s7				s18	s218	s12							r3			s223			
					216							211				330	217	220		3									s213		s214	s219					s221	s17			s222					s215						s7				s18	s218	s12							r3			s223			
																																						s331																																	
																																																s332																							
																																						s333																																	
																																						s334																																	
			335			53		58	47	52	55																	s48						s49				s57										s51	s46									s50	s54												
						336		65	59																			s60										s64										s62										s61													
		337																									r20																r20											s111									r20	r20			r20		r20		
						338		150	144																			s145										s149										s147										s146													
						53		58	47	339	113																	s48						s49				s57										s51	s46									s50	s54												
																																				r34											r34						r34																		
																																				r37											r37						r37																		
						53		58	47		340																	s48						s49				s57										s51	s46									s50	s54												
																											r18																r18							r18													r18	r18			r18		r18		
								127	341																			s117										s126										s342										s119													
			238			122		127	116	121	124																	s117						s118				s126										s120	s115									s119	s123												
																									344											r36											r36			r36																					
													241														s130																s131																				s133	s134			s132		s135		
																							345													r39											r39			r39																					
																																				r40											r40			r40																					
													241														s130																s131							s347													s133	s134			s132		s135		
																																																		s348																					
						234		58	47	349	124																	s48						s118				s57										s232	s115									s50	s123												
																																																		r34																					
						354		356	350																			s351										s355										s353										s352													
																											r24																r24								r24			r24									r24	r24			r24		r24		
																																															r37			r37																					
						234		58	47		357																	s48						s118				s57										s232	s115									s50	s123												
																																				r41											r41						r41																		
																											r21																r21							r21				r21									r21	r21			r21		r21		
								359																				s117										s126										s358										s119													
																									360																						s128						r36																		
		361																																		r20											r20						r20	s362																	
																																				r26											r26				r26		r26	r26																	
																																				r27											r27				r27		r27	r27																	
						363		150	144																			s145										s149										s147										s146													
																																				r42											r42						r42																		
																																				r25											r25				r25		r25	r25																	
364																																				r23											r23				s365		r23	r23																	
																							366													s138											r39						r39																		
																																																																		s367					
																																																s368																							
			369			30		58	47	29	32																	s48						s26				s57										s28	s23									s50	s31												
																																			s370																																				
																																						s371																																	
																																																s372																							
			373			53		58	47	52	55																	s48						s49				s57										s51	s46									s50	s54												
						374		65	59																			s60										s64										s62										s61													
						375		150	144																			s145										s149										s147										s146													
376																											r23																r23								s141			r23									r23	r23			r23		r23		
		377																																																				s143							r20										
																																																		r18																					
								150	378																			s145										s149										s147										s146													
																																																		s379																					
																																																			r24			r24							r24										
																																																		r21				r21																	
								380																				s145										s149										s147										s146													
381																																																			s153			r23							r23										
																					382																		s67																											r30					
																																						r13																																	
																																																													s383										
																											r19																r19																				r19	r19			r19		r19		
																																																		s242																					
																									384					r36						r36											r36																								
																							385							r39						r39											r39																								
		386																									r20																r20							r20				s231									r20	r20			r20		r20		
						387		150	144																			s145										s149										s147										s146													
						234		58	47	388	235																	s48						s118				s57										s232	s115									s50	s123												
																																				r34											r34			r34																					
																																				r37											r37			r37																					
						234		58	47		389																	s48						s118				s57										s232	s115									s50	s123												
																											r24																r24							r24	r24			r24									r24	r24			r24		r24		
																																				r41											r41			r41																					
																									390																						s239			r36																					
		391																																		r20											r20			r20				s392																	
																																				r26											r26			r26	r26			r26																	
																																				r27											r27			r27	r27			r27																	
						393		150	144																			s145										s149										s147										s146													
																																				r42											r42			r42																					
																																				r25											r25			r25	r25			r25																	
394																																				r23											r23			r23	s395			r23																	
																							396													s244											r39			r39																					
						397		150	144																			s145										s149										s147										s146													
398																											r23																r23							r23	s247			r23									r23	r23			r23		r23		
																														r35																																									
																														r18						r18											r18																								
								189	399																			s184										s188										s186										s185													
																																																		s400																					
																														r21						r21											r21							r21																	
								401																				s184										s188										s186										s185													
																														r38																	r38																								
																																																		s242																					
																											r22																r22											r22									r22	r22			r22		r22		
																																						s402																																	
																																																		s403																					
																																																		r18					r18																
								202	404																			s196										s201										s199										s198													
																																																													s405										
																																																		s406																					
						407		202	195																			s196										s201										s199										s198													
																																																		r58																					
																																																		r21				r21	r21																
								408																				s196										s201										s199										s198													
															410																		r33									s409																													
																																																													r8										
																																																		s411																					
																																																													r6										
						412		65	59																			s60										s64										s62										s61													
																													r5		r5	r5					r5	r5			r5					r5						r5				r5	r5	r5										r5		r5	
																																						s413																																	
																														s414																																									
																																						s415																																	
																																																																	r1						
																																																																	r2						
																																																s416																							
																																						s417																																	
	418																																																						s106						r7					s108					
																																																														s419									
																																																					s420																		
																																																													s421										
																											r19																r19																				r19	r19			r19		r19		
																																																		s242																					
																									422											r36											r36						r36																		
																							423													r39											r39						r39																		
		424																									r20																r20							r20				s231									r20	r20			r20		r20		
						425		150	144																			s145										s149										s147										s146													
						234		58	47	426	235																	s48						s118				s57										s232	s115									s50	s123												
																																				r34											r34			r34																					
																																				r37											r37			r37																					
						234		58	47		427																	s48						s118				s57										s232	s115									s50	s123												
																											r24																r24							r24	r24			r24									r24	r24			r24		r24		
																																				r41											r41			r41																					
																									428																						s239			r36																					
		429																																		r20											r20			r20				s430																	
																																				r26											r26			r26	r26			r26																	
																																				r27											r27			r27	r27			r27																	
						431		150	144																			s145										s149										s147										s146													
																																				r42											r42			r42																					
																																				r25											r25			r25	r25			r25																	
432																																				r23											r23			r23	s433			r23																	
																							434													s244											r39			r39																					
						435		150	144																			s145										s149										s147										s146													
436																											r23																r23							r23	s247			r23									r23	r23			r23		r23		
																																																					r35																		
																																				r18											r18						r18																		
								255	437																			s250										s254										s252										s251													
																																																		s438																					
																																				r21											r21						r21	r21																	
								439																				s250										s254										s252										s251													
																																															r38						r38																		
						440		65	59																			s60										s64										s62										s61													
																																						s441																																	
																														s442																																									
												1					443												s4		s5	s11						s17			s15																s10											s16			
																																																s444																							
																																						s445																																	
																																																					s446																		
																																																													s447										
																																																		s242																					
																											r22																r22											r22									r22	r22			r22		r22		
																																																													r19										
		448																																																r20				s269																	
																																																		r24	r24			r24																	
449																																																		r23	s273			r23																	
																																																						r22							r22										
																																																																		r29					
			457			454		58	47	453	456																	s48						s451				s57										s452	s450									s50	s455												
																														r35						r35											r35																								
																														r38						r38											r38																								
																											r19																r19							r19													r19	r19			r19		r19		
																																																		s347																					
																									458											r36											r36			r36																					
																							459													r39											r39			r39																					
																																																		r35																					
																																				r18											r18			r18																					
								356	460																			s351										s355										s353										s352													
																																																		s461																					
																																				r21											r21			r21				r21																	
								462																				s351										s355										s353										s352													
																																															r38			r38																					
																																																		s347																					
																											r22																r22							r22				r22									r22	r22			r22		r22		
		463																												r20						r20											r20							s303																	
																														r24						r24											r24				r24			r24																	
464																														r23						r23											r23				s306			r23																	
																										466																								r55					s465																
																																																														s467									
		468																																																r20				s313	r20																
																													r56		r56	r56					r56	r56			r56					r56						r56				r56	r56	r56										r56		r56	
																																																		r24	r24			r24	r24																
							469																																											r60					s316																
470																																																		r23	s319			r23	r23																
																												s471																																											
																																	s472																																						
																																																							r24						r24					r24					
																																																													s473										
																																																																		s474					
												211					475												s213		s214	s219						s17			s222																s218											s223			
																																																s476																							
						200		202	195													477						s196										s201										s199										s198													
																																																		s478																					
																																																													s479										
					216							211				480	217	220		3									s213		s214	s219					s221	s17			s222					s215						s7				s18	s218	s12							r3			s223			
												257					481												s258		s259	s262						s17			s263																s261											s264			
																													r57		r57	r57					r57	r57			r57					r57						r57				r57	r57	r57							r57			r57			
																																				r35											r35						r35																		
																																				r38											r38						r38																		
																											r19																r19							r19													r19	r19			r19		r19		
																																																		s347																					
																									482											r36											r36			r36																					
																							483													r39											r39			r39																					
																																																		r35																					
																																				r18											r18			r18																					
								356	484																			s351										s355										s353										s352													
																																																		s485																					
																																				r21											r21			r21				r21																	
								486																				s351										s355										s353										s352													
																																															r38			r38																					
																																																		s347																					
																											r22																r22							r22				r22									r22	r22			r22		r22		
		487																																		r20											r20						r20	s362																	
																																				r24											r24				r24		r24	r24																	
488																																				r23											r23				s365		r23	r23																	
																																																													s489										
																																																																		s490					
												257					491												s258		s259	s262						s17			s263																s261											s264			
																													r16		r16	r16					r16	r16			r16					r16						r16				r16	r16	r16										r16		r16	
						200		202	195													492						s196										s201										s199										s198													
																																																		s493																					
												257					494												s258		s259	s262						s17			s263																s261											s264			
																																			r57																																				
																																																		r19																					
																																																		r22				r22																	
																																				r44											r44														r44										
			497			454		58	47	495	496																	s48						s451				s57										s452	s450									s50	s455												
			498			122		127	116	121	124																	s117						s118				s126										s120	s115									s119	s123												
																									500																						s499														r36										
													501														s130																s131																				s133	s134			s132		s135		
																																				r43											r43														r43										
																							502													s503											r39														r39										
																																																													s504										
																																				r35											r35			r35																					
																																				r38											r38			r38																					
		505																																		r20											r20			r20				s430																	
																																				r24											r24			r24	r24			r24																	
506																																				r23											r23			r23	s433			r23																	
																														r19						r19											r19																								
																														r22						r22											r22							r22																	
																				507																																s37				s39		s38													
																																																		r52																					
					216							211				508	217	220		3									s213		s214	s219					s221	s17			s222					s215						s7				s18	s218	s12							r3			s223			
																																																		r19					r19																
																																																		r59																					
																																																		r22				r22	r22																
																																																												s509											
																																																												s510											
																													r15		r15	r15					r15	r15			r15					r15						r15				r15	r15	r15							r15			r15			
						511		65	59																			s60										s64										s62										s61													
																													r17		r17	r17					r17	r17			r17					r17						r17				r17	r17	r17							r17			r17			
														512						310																														r53		s37				s39		s38													
																																																		s513																					
																																																														s514									
																													r4		r4	r4					r4	r4			r4					r4						r4				r4	r4	r4							r4			r4			
																																																																	s515						
																																			s516																																				
																																				r35											r35			r35																					
																																				r38											r38			r38																					
		517																																		r20											r20			r20				s430																	
																																				r24											r24			r24	r24			r24																	
518																																				r23											r23			r23	s433			r23																	
																																				r19											r19						r19																		
																																				r22											r22						r22	r22																	
																																			r15																																				
						519		65	59																			s60										s64										s62										s61													
																																			r17																																				
																																																		s520																					
																																																														s521									
																																			s522																																				
																									524											r36											r36														r36										
																							525													r39											r39														r39										
																																				r40											r40														r40										
																																																		s527																					
						454		58	47	528	456																	s48						s451				s57										s452	s450									s50	s455												
																																																													r34										
						533		535	529																			s530										s534										s532										s531													
																																															r37														r37										
						454		58	47		536																	s48						s451				s57										s452	s450									s50	s455												
																																						s537																																	
																																				r19											r19			r19																					
																																				r22											r22			r22				r22																	
																																						s538																																	
																																																																	s539						
												540					543												s541		s542	s545						s17			s546																s544											s547			
												548					551												s549		s550	s553						s17			s554																s552											s555			
																																																													s556										
																																																		s557																					
																																																													s558										
															559																		r33									s409																													
																													r5		r5	r5					r5	r5			r5					r5						r5				r5	r5	r5							r5			r5			
												211					560												s213		s214	s219						s17			s222																s218											s223			
																																				r19											r19			r19																					
																																				r22											r22			r22				r22																	
																																																													s561										
																																																													s562										
															563																		r33									s409																													
												257					564												s258		s259	s262						s17			s263																s261											s264			
						454		58	47	565	496																	s48						s451				s57										s452	s450									s50	s455												
																																				r34											r34														r34										
																																				r37											r37														r37										
						454		58	47		566																	s48						s451				s57										s452	s450									s50	s455												
																																				r41											r41														r41										
																									567																						s499														r36										
		568																																		r20											r20							s569							r20										
																																				r26											r26				r26			r26							r26										
																																				r27											r27				r27			r27							r27										
						570		150	144																			s145										s149										s147										s146													
																																				r42											r42														r42										
																																				r25											r25				r25			r25							r25										
571																																				r23											r23				s572			r23							r23										
																							573													s503											r39														r39										
																			575																									s576	s574																										
																										577																								r55					s465																
																													r51		r51	r51					r51	r51			r51					r51						r51				r51	r51	r51										r51		r51	
																																																																		s578					
																																																s579																							
			580			30		58	47	29	32																	s48						s26				s57										s28	s23									s50	s31												
															581																		r33									s409																													
																																						s582																																	
																																																s583																							
			584			53		58	47	52	55																	s48						s49				s57										s51	s46									s50	s54												
						585		65	59																			s60										s64										s62										s61													
																																																																		s586					
																																																s587																							
			588			30		58	47	29	32																	s48						s26				s57										s28	s23									s50	s31												
																																																																	s589						
																																						s590																																	
																																																s591																							
			592			53		58	47	52	55																	s48						s49				s57										s51	s46									s50	s54												
						593		65	59																			s60										s64										s62										s61													
			594			454		58	47	453	456																	s48						s451				s57										s452	s450									s50	s455												
																																																														s595									
																													r56		r56	r56					r56	r56			r56					r56						r56				r56	r56	r56							r56			r56			
																																	s596																													
